Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Bulgaria;BGR;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;;;;;;;;;;;;;;;;;;;;;;4,551144229;2,032294165;3,172520881;3,154807367;2,684953395;4,235241269;5,898612494;10,82009085;-2,151690705;-7,463207655;-7,534068829;-6,271263897;-0,691213461;2,164358731;3,314187644;5,682548948;-13,66882955;4,983507372;-7,765352383;5,300838382;5,904565725;8,278099417;5,988070656;7,24831911;7,963428687;7,616424611;7,343463915;6,832886277;-2,750290659;1,223588178;3,012992727;0,939559724;0,888813875;2,466219592;4,6555006;4,551172108;4,261548231;3,839552119;4,426793443;-3,48302802
Estonia;EST;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,502780044;14,34720763;5,346911888;-0,717825376;9,556416862;6,681034596;7,449835963;8,277713443;7,444415589;10,1529689;10,41473423;8,071025334;-4,877286528;-14,46432838;2,678164039;7,589211665;3,59836216;1,820154161;3,281874814;1,786274694;3,125538305;5,664039082;3,772023311;3,710285764;-3,254306892
Hungary;HUN;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3,026235553;-0,462665221;3,088168309;1,630917596;0,254472702;3,35112956;4,142033696;3,363403412;4,750944275;4,313090929;5,039960756;4,383084073;5,055229739;4,451147689;4,193132894;0,397591781;1,235394662;-6,55491152;1,350986876;2,226366856;-0,869998385;2,141630859;4,510099905;4,066661995;2,441866879;4,594487546;5,533427038;4,688663954;-4,748350156
Lithuania;LTU;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,961077209;9,113027875;8,257179062;-0,437687209;4,427475848;7,407519796;7,611827256;11,46771748;7,773001207;9,501044182;9,142617037;12,43525018;3,675240926;-13,88775336;3,80531559;8,461109064;5,246002459;4,603327729;4,431087654;2,988912971;3,829841264;5,751046557;4,933348072;4,615416408;-0,891875167
Latvia;LVA;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,731273767;9,954134182;7,348242915;3,58072935;6,695509679;7,704861867;8,334172654;9,487466533;9,691840517;11,92803765;13,01830912;10,92878857;-2,305971033;-12,83237465;-2,396388924;8,425155474;5,552871613;3,411842755;2,029984434;4,861796235;3,312783342;4,169810799;4,837970042;2,738917147;-3,001599749
Poland;POL;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-7,344790999;2,201065851;3,474682773;5,070855514;6,95760302;6,034684999;6,379406008;4,603228575;4,663516251;5,658715074;1,286410848;2,083176394;3,568276628;5,044268419;3,552347627;6,198421176;7,119699396;4,185753117;2,762525787;4,037233683;4,701325268;1,325133072;1,186825793;3,455982004;4,305813693;3,186076367;4,817572418;5,353915594;4,566458956;-2,664090548
Ukraine;UKR;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,112567701;3,367511068;-6,558926109;-8,602803555;-9,958557857;-14,27344927;-22,55139786;-11,50356962;-9,197967768;-2,111952686;-1,019448577;0,745281238;6,971350136;10,35739088;6,253590594;10,40812388;12,96242784;3,75483753;8,168736741;8,237635371;2,859500455;-14,3793846;4,247708735;5,845438605;0,486553656;0,201192016;-1,144921089;-9,443804593;2,648051731;2,9171754;3,932894949;3,815824772;-3,370977295
Romania;ROU;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-12,15844134;-7,939239528;1,66711861;4,083147899;6,448659414;4,207522544;-4,57473043;-1,826823974;-0,220150555;2,593975232;6,696673666;7,655869434;3,081963843;11,05911322;5,316506112;8,670675853;8,829648237;11,1442089;-4,726982601;-3,328750364;2,408543966;2,495940298;4,157004108;3,997544304;3,438749236;5,305363967;7,941558658;5,090111107;4,677457329;-3,433034557
Russian Federation;RUS;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3,162836601;-5,318762139;-14,61392049;-8,619681361;-12,53979033;-4,122774419;-3,614977841;1,567710782;-5,143116441;6,72949582;10,463718;5,546717048;5,182746813;7,787965202;7,632492501;6,806606168;8,554944957;8,685760611;5,246214033;-7,827749092;4,453094432;4,218725874;3,849155632;1,538963817;-1,045257463;-2,183888387;0,010248462;1,709389916;2,815525692;2,078811309;-2,771565332
World;WLD;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;;2,505321483;3,496773396;3,058408847;4,424051728;3,445510941;3,487540483;2,085257133;3,854330985;3,669527594;1,536851778;2,111890683;3,531158845;4,364519693;-0,099661803;-1,234391117;3,430818518;2,284549759;2,272958192;2,387459886;0,056809265;0,153461623;-1,371737914;0,808484301;2,884043974;1,928481986;1,666464336;1,923617226;2,835174718;1,981743281;1,167522005;-0,202198465;0,480637677;0,23186622;1,737633943;1,565230167;2,129252372;2,405947868;1,405572198;2,144339021;3,126115889;0,722785612;1,049294076;1,885703511;3,174035998;2,78536715;3,217522917;3,170960289;0,748166055;-2,491407439;3,24499799;2,139201821;1,496755323;1,666954873;1,924949228;1,973185802;1,620969265;2,217743413;2,112302989;1,480856086;-4,395209515
