Geography;Category;Data Type;Unit;Current Constant;1988;1989;1990;1991;1992
Albania;GDP Measured at Purchasing Power Parity;Socioeconomic indicators;international dollar million;;9181;10476;9782;7281;6911
Bulgaria;GDP Measured at Purchasing Power Parity;Socioeconomic indicators;international dollar million;;89240;92276;87018;80285;75196
Estonia;GDP Measured at Purchasing Power Parity;Socioeconomic indicators;international dollar million;;;;;;
Hungary;GDP Measured at Purchasing Power Parity;Socioeconomic indicators;international dollar million;;109028;114138;114269;104085;103195
Latvia;GDP Measured at Purchasing Power Parity;Socioeconomic indicators;international dollar million;;;;;;15926
Lithuania;GDP Measured at Purchasing Power Parity;Socioeconomic indicators;international dollar million;;;;;;
Poland;GDP Measured at Purchasing Power Parity;Socioeconomic indicators;international dollar million;;245293;264630;254847;245009;255686
Romania;GDP Measured at Purchasing Power Parity;Socioeconomic indicators;international dollar million;;186254;182332;178539;160717;149970
Russia;GDP Measured at Purchasing Power Parity;Socioeconomic indicators;international dollar million;;;;;;1602610
Ukraine;GDP Measured at Purchasing Power Parity;Socioeconomic indicators;international dollar million;;;;;;331074
North America;GDP Measured at Purchasing Power Parity;Socioeconomic indicators;international dollar million;;5746997;6184454;6527261;6729159;7109628
